Section,Role,Item,Detail,Score,Status
Evaluation,,Idea,"A tiffin subscription for college students in Pune — home-style meals on monthly plans, with delivery routes decided by a demand model rather than a fixed weekly menu. Two central kitchens, hostel-gate handover, and a pause-anytime plan for students who travel home.",5.5/10,Mixed
Evaluation,,Verdict,Caution,,
Evaluation,,Generated,"August 6, 2026 at 03:54 PM",,
Evaluation,,Panel size,6 experts,,
Evaluation,,Domains detected,"food, business, logistics",,
Evaluation,,Agreement,68%,,
Evaluation,,Elapsed,11.4s,,
Brief,,Checklist,5 of 5 sections complete,,Required complete
Brief,,Decision context,"Five months live in two hostel clusters. 229 active subscribers, ₹12.1L gross in November, run by two founders and four kitchen staff. ₹18L of runway left and no outside funding yet. We have already tried a fixed weekly menu and churned 30% of subscribers in month two.",,
Brief,,Success criteria,"Hold contribution margin above 22% per meal while reaching 600 subscribers within nine months, with monthly churn under 8% and no food-safety incident.",,
Brief,,Constraints,"FSSAI licensing on both kitchens, a ₹40 ceiling on food cost per meal, no more than six staff before Series A, and delivery confined to a 6 km radius of each kitchen.",,
Sources,,unit-economics.csv,Read in full,,Included
Sources,,pitch-deck.key,"Unsupported file type — upload a PDF, CSV, spreadsheet, or text file",,Excluded
Panel,Admin,The Operator,"The demand model is the right instinct, but two kitchens serving a 6 km radius caps you well short of 600 subscribers.",6/10,Mixed
Panel — in favour,Admin,The Operator,Hostel-gate handover removes the last-mile failure that kills most tiffin operations.,,
Panel — in favour,Admin,The Operator,"A demand-routed menu cuts prep waste, which is where margin usually leaks first.",,
Panel — in favour,Admin,The Operator,Pause-anytime matches the real rhythm of a student calendar instead of fighting it.,,
Panel — against,Admin,The Operator,"At 20,000 meals a month you are already near the practical ceiling of two kitchens with six staff.",,
Panel — against,Admin,The Operator,Lunch and dinner both peak inside a 90-minute window — the same riders cannot cover both.,,
Panel — against,Admin,The Operator,No named cold-chain or holding process for the gap between cook-off and handover.,,
Panel — recommendation,Admin,The Operator,Map the actual meals-per-rider-hour you achieve in the tighter cluster before adding a single subscriber to the looser one.,,
Panel,Reviewer,The Economist,Your own spreadsheet shows delivery cost rising faster than revenue per meal — the 22% margin target is not reachable on this cost base.,4/10,Against
Panel — in favour,Reviewer,The Economist,Monthly prepayment gives you working capital ahead of food spend.,,
Panel — in favour,Reviewer,The Economist,"Revenue per subscriber has held steady while volume grew, so pricing is not the problem.",,
Panel — in favour,Reviewer,The Economist,"₹18L of runway is enough to test a fix, if you spend it on density rather than growth.",,
Panel — against,Reviewer,The Economist,Delivery cost per meal moved from ₹9.25 to ₹9.60 across the five months in the file — the wrong direction at scale.,,
Panel — against,Reviewer,The Economist,"Food cost at ₹29.8 per meal leaves ₹10 of headroom against your own ₹40 ceiling, before any wastage.",,
Panel — against,Reviewer,The Economist,Six-staff cap plus 600 subscribers implies a labour cost per meal you have not modelled.,,
Panel — recommendation,Reviewer,The Economist,"Rebuild the model with delivery cost as a function of drop density, not subscriber count, and re-derive the subscriber target from there.",,
Panel,User,The User,I would pay for this tomorrow — mess food is the single worst part of hostel life and nobody has fixed it.,8/10,In favour
Panel — in favour,User,The User,Pause-anytime is the feature that decides it; every other plan punishes me for going home.,,
Panel — in favour,User,The User,Home-style rather than restaurant food is exactly what I miss by week three.,,
Panel — in favour,User,The User,Handover at the gate means I do not have to explain my location to a rider every day.,,
Panel — against,User,The User,"If the menu changes by demand model, I cannot tell what I am eating on Thursday, and that matters more than you think.",,
Panel — against,User,The User,One late dinner during exam week and I will cancel — there is no goodwill to spend.,,
Panel — against,User,The User,Monthly prepayment is a real ask on a student budget; weekly would convert more of my friends.,,
Panel — recommendation,User,The User,"Publish tomorrow's menu by 6pm the night before, even if the routing stays dynamic underneath.",,
Panel,Authority,The Regulator,FSSAI registration on the kitchens is the easy half; the transport and holding-temperature obligations are the half that closes operations.,6/10,Mixed
Panel — in favour,Authority,The Regulator,Central kitchens are far easier to license and inspect than a home-cook network.,,
Panel — in favour,Authority,The Regulator,Serving students rather than institutions keeps you out of contract-catering tender rules.,,
Panel — in favour,Authority,The Regulator,"No alcohol, no meat processing, no imports — the licensing surface is genuinely small.",,
Panel — against,Authority,The Regulator,"Hot food held above four hours without documented temperature control is a shutdown risk, not a fine.",,
Panel — against,Authority,The Regulator,"Riders handling food need their own hygiene documentation, whether they are employees or not.",,
Panel — against,Authority,The Regulator,One food-borne illness cluster in a hostel becomes a district health matter within a day.,,
Panel — recommendation,Authority,The Regulator,"Put a written temperature and holding-time log into the daily route sheet this week, before you need it to prove anything.",,
Panel,Admin,The Hostel Warden,"Gate handover works only while the gate lets you in — and that permission is mine, not the students'.",5/10,Mixed
Panel — in favour,Admin,The Hostel Warden,A single scheduled drop is far less disruptive than forty individual delivery riders.,,
Panel — in favour,Admin,The Hostel Warden,Fewer students leaving campus at night for food is something I actively want.,,
Panel — in favour,Admin,The Hostel Warden,A named vendor I can hold responsible beats an app I cannot call.,,
Panel — against,Admin,The Hostel Warden,Existing mess contracts often carry exclusivity clauses that no student has read.,,
Panel — against,Admin,The Hostel Warden,"Deliveries after gate-closing hours will not happen, whatever your model says.",,
Panel — against,Admin,The Hostel Warden,"If waste containers pile up at the gate, I will end the arrangement before I email you.",,
Panel — recommendation,Admin,The Hostel Warden,Get a written slot from each hostel administration before you sell a single subscription in that cluster.,,
Panel,Investigator,The Critic,"You already ran this experiment: the fixed menu churned 30% and the dynamic menu has not been shown to fix retention, only waste.",4/10,Against
Panel — in favour,Investigator,The Critic,"You have five months of real data, which is more than most operators at this stage.",,
Panel — in favour,Investigator,The Critic,The founders are close enough to operations to see failures the same day.,,
Panel — in favour,Investigator,The Critic,The market is not in doubt — demand is the one thing nobody on this panel disputes.,,
Panel — against,Investigator,The Critic,The demand model solves a kitchen problem and is being sold as a retention feature.,,
Panel — against,Investigator,The Critic,"229 subscribers after five months implies roughly 30 net additions a month; 600 in nine is not an extrapolation, it is a hope.",,
Panel — against,Investigator,The Critic,"Two founders, four staff, two kitchens and a hard staffing cap means every growth plan runs through the same two people.",,
Panel — recommendation,Investigator,The Critic,"State plainly what caused the 30% churn, and prove the new menu logic touches that cause — otherwise you are scaling the same leak.",,
Synthesis,,Executive summary,"Real demand, real margin problem. Students want this and would pay, but your own numbers show delivery cost per meal rising as you grow, and the 600-subscriber target sits beyond what two kitchens, six staff and a 6 km radius can serve. The panel does not doubt the market; it doubts this cost base reaching 22% contribution.",,
Consensus,,Agreed,Demand among hostel students is genuine and is not the risk in this business.,,
Consensus,,Agreed,"Density, not subscriber count, is the variable that decides whether the margin target is reachable.",,
Consensus,,Agreed,Pause-anytime and gate handover are the two features that make the product work operationally.,,
Consensus,,Agreed,The 600-in-nine-months target is not supported by the growth rate in the data provided.,,
Disagreement,,Whether the demand-routed menu helps retention or only waste,The Operator: It cuts prep waste measurably and that alone justifies it.,,
Disagreement,,Whether the demand-routed menu helps retention or only waste,"The User: An unpredictable menu is a reason to cancel, not to stay.",,
Disagreement,,Whether the demand-routed menu helps retention or only waste,The Critic: It is a kitchen optimisation being marketed as a retention fix.,,
Disagreement — reconciled,,Whether the demand-routed menu helps retention or only waste,Keep the dynamic routing but remove the unpredictability the customer sees: lock and publish the next day's menu by 6pm. Waste savings survive; the churn risk does not.,,
Disagreement,,Whether to grow subscribers or tighten the existing clusters first,The Economist: Every new loose-cluster subscriber makes the delivery cost curve worse.,,
Disagreement,,Whether to grow subscribers or tighten the existing clusters first,The Hostel Warden: Growth is gated by hostel permissions you do not have yet anyway.,,
Disagreement,,Whether to grow subscribers or tighten the existing clusters first,The Operator: Density inside one cluster is the only growth that improves the model.,,
Disagreement — reconciled,,Whether to grow subscribers or tighten the existing clusters first,Freeze expansion into new clusters for one quarter and drive penetration inside the dense cluster until meals per rider-hour clears twelve.,,
SWOT,,Strength,"Demonstrated willingness to pay from the target customer, with five months of retention data behind it.",,
SWOT,,Strength,Prepaid monthly plans fund food cost ahead of spend.,,
SWOT,,Strength,Gate handover removes the most common last-mile failure in food delivery.,,
SWOT,,Weakness,Delivery cost per meal is rising rather than falling with volume.,,
SWOT,,Weakness,Two kitchens and a six-staff cap put a hard ceiling under the stated growth target.,,
SWOT,,Weakness,No documented temperature or holding-time control between cook-off and handover.,,
SWOT,,Opportunity,Hostel administrations want fewer late-night campus exits and can be turned into distribution partners.,,
SWOT,,Opportunity,Exam-week and travel-week demand patterns are predictable enough to price separately.,,
SWOT,,Opportunity,A single dense cluster proven at 22% margin becomes a repeatable template for the next campus.,,
SWOT,,Threat,An exclusivity clause in an existing mess contract could close a cluster overnight.,,
SWOT,,Threat,One food-borne illness cluster becomes a district health matter and an existential brand event.,,
SWOT,,Threat,A funded aggregator entering hostel catering would out-spend you on rider density immediately.,,
Action plan,,Next 7 days,Instrument meals per rider-hour separately for each cluster and publish the number internally.,,
Action plan,,Next 7 days,Add a temperature and holding-time log to the daily route sheet.,,
Action plan,,Next 7 days,Start publishing the next day's menu by 6pm and measure the churn cohort against it.,,
Action plan,,Next 30 days,Rebuild the unit model with delivery cost as a function of drop density and re-derive the subscriber target.,,
Action plan,,Next 30 days,Secure a written delivery slot from each hostel administration in the dense cluster.,,
Action plan,,Next 30 days,Run a weekly-payment option against monthly on one hostel and compare conversion.,,
Action plan,,Next 30 days,Write down the cause of the earlier 30% churn and test whether the current product touches it.,,
Recommendation,,The chair,"Do not scale this yet. Spend the next quarter converting one cluster into proof: density above twelve meals per rider-hour, churn under 8%, contribution margin at 22% with the temperature log in place. If that cluster holds, the model is repeatable and worth funding. If it does not, no number of new subscribers will fix it — they will only make the delivery curve steeper.",,
Reviewer notes,,Note,Reviewed by the founding team on 8 August 2026. We accept the density argument and are freezing the second cluster for one quarter.,,
